E_MLIP,ads,anchor,anchor_nbr_species,d_CH3O_bond,d_CO,d_C_CO_surf,d_O_CH3_surf,d_anchor_surf,d_reactive,h_C_CO,h_O_CH3,h_anchor,idx,n_O_nbr,n_Pd_nbr,n_sub,natoms,rank,sid,site,site_CH3O,site_CO
-405.719,CO,C,Pd,,1.166,,,1.837,,,,1.812,64,0,1,80,82,0,S1,atop_Pd,,
-405.7178,CO,C,Pd,,1.188,,,1.969,,,,1.388,3,0,2,80,82,1,S1,br_PdPd,,
-405.7148,CO,C,Pd,,1.188,,,1.974,,,,1.387,8,0,2,80,82,2,S1,br_PdPd,,
-405.7129,CO,C,Pd,,1.188,,,1.978,,,,1.385,28,0,2,80,82,3,S1,br_PdPd,,
-405.7125,CO,C,Pd,,1.188,,,1.975,,,,1.38,30,0,2,80,82,4,S1,br_PdPd,,
-415.8734,CH3O,O,Pd,,1.429,,,2.112,,,,1.534,48,0,2,80,85,0,S1,br_PdPd,,
-415.8723,CH3O,O,Pd,,1.43,,,2.097,,,,1.53,59,0,2,80,85,1,S1,br_PdPd,,
-415.8719,CH3O,O,Pd,,1.43,,,2.106,,,,1.548,138,0,2,80,85,2,S1,br_PdPd,,
-415.8712,CH3O,O,Pd,,1.429,,,2.103,,,,1.529,105,0,2,80,85,3,S1,br_PdPd,,
-415.8689,CH3O,O,Pd,,1.43,,,2.103,,,,1.533,37,0,2,80,85,4,S1,br_PdPd,,
-575.2723,CO,C,Pd,,1.154,,,1.899,,,,1.074,59,0,1,112,114,0,S2,atop_Pd,,
-575.2628,CO,C,Pd,,1.153,,,2.516,,,,1.708,81,0,1,112,114,1,S2,atop_Pd,,
-575.0427,CO,C,O,,1.148,,,3.237,,,,2.952,130,0,0,112,114,2,S2,physi,,
-575.0383,CO,C,O,,1.147,,,3.04,,,,2.76,154,0,0,112,114,3,S2,physi,,
-575.0335,CO,C,Pd,,1.155,,,1.898,,,,1.118,27,0,1,112,114,4,S2,atop_Pd,,
-585.9017,CH3O,O,Pd,,1.434,,,2.116,,,,0.478,19,0,2,112,117,0,S2,br_PdPd,,
-585.9016,CH3O,O,Pd,,1.398,,,2.059,,,,1.2,297,0,1,112,117,1,S2,atop_Pd,,
-585.9013,CH3O,O,Pd,,1.408,,,2.051,,,,1.271,340,0,1,112,117,2,S2,atop_Pd,,
-585.8972,CH3O,O,Pd,,1.396,,,2.024,,,,1.188,204,0,1,112,117,3,S2,atop_Pd,,
-585.8965,CH3O,O,Pd,,1.418,,,2.103,,,,0.568,62,0,2,112,117,4,S2,br_PdPd,,
-687.9499,CO,C,O,,1.148,,,2.946,,,,2.769,123,0,0,128,130,0,S3,physi,,
-687.945,CO,C,Pd,,1.152,,,2.462,,,,2.307,22,0,1,128,130,1,S3,atop_Pd,,
-687.9218,CO,C,Pd,,1.152,,,2.465,,,,2.337,49,0,1,128,130,2,S3,atop_Pd,,
-687.9149,CO,C,Pd,,1.151,,,2.487,,,,2.344,40,0,1,128,130,3,S3,atop_Pd,,
-687.863,CO,C,Pd,,1.152,,,2.47,,,,2.331,20,0,1,128,130,4,S3,atop_Pd,,
-698.627,CH3O,O,Pd,,1.409,,,1.995,,,,1.923,315,0,1,128,133,0,S3,atop_Pd,,
-698.6267,CH3O,O,O,,1.44,,,1.508,,,,1.378,369,1,0,128,133,1,S3,atop_O,,
-698.6266,CH3O,O,Pd,,1.412,,,1.992,,,,1.906,117,0,1,128,133,2,S3,atop_Pd,,
-698.6259,CH3O,O,Pd,,1.409,,,1.996,,,,1.925,164,0,1,128,133,3,S3,atop_Pd,,
-698.6244,CH3O,O,Pd,,1.411,,,1.993,,,,1.92,143,0,1,128,133,4,S3,atop_Pd,,
-547.629,CO,C,Pd,,1.167,,,1.802,,,,1.742,56,0,1,104,106,0,S3b,atop_Pd,,
-547.5965,CO,C,Pd,,1.168,,,1.804,,,,1.605,41,0,1,104,106,1,S3b,atop_Pd,,
-547.5883,CO,C,Pd,,1.167,,,1.804,,,,1.61,19,0,1,104,106,2,S3b,atop_Pd,,
-547.5008,CO,C,Pd,,1.167,,,1.805,,,,1.649,38,0,1,104,106,3,S3b,atop_Pd,,
-547.5005,CO,C,Pd,,1.203,,,2.689,,,,1.365,79,0,0,104,106,4,S3b,physi,,
-558.1287,CH3O,O,Pd,,1.394,,,1.965,,,,1.475,198,0,1,104,109,0,S3b,atop_Pd,,
-558.1244,CH3O,O,Pd,,1.432,,,2.099,,,,1.435,16,0,2,104,109,1,S3b,br_PdPd,,
-558.1233,CH3O,O,Pd,,1.384,,,1.979,,,,1.558,108,0,1,104,109,2,S3b,atop_Pd,,
-558.1213,CH3O,O,Pd,,1.418,,,1.969,,,,1.698,260,0,1,104,109,3,S3b,atop_Pd,,
-558.1208,CH3O,O,Pd,,1.434,,,2.066,,,,1.444,8,0,2,104,109,4,S3b,br_PdPd,,
-756.5792,CO,C,O,,1.148,,,3.029,,,,2.542,80,0,0,144,146,0,S4,physi,,
-756.5642,CO,C,O,,1.147,,,3.029,,,,2.0,76,0,0,144,146,1,S4,physi,,
-756.5259,CO,C,O,,1.147,,,3.101,,,,2.0,61,0,0,144,146,2,S4,physi,,
-754.0571,CO,C,O,,1.149,,,2.984,,,,2.439,86,0,0,144,146,3,S4,physi,,
-754.0571,CO,C,O,,1.147,,,3.141,,,,2.018,55,0,0,144,146,4,S4,physi,,
-767.2577,CH3O,O,O,,1.454,,,1.42,,,,1.407,369,1,0,144,149,0,S4,atop_O,,
-767.2575,CH3O,O,Pd,,1.396,,,1.986,,,,0.754,260,0,1,144,149,1,S4,atop_Pd,,
-767.2573,CH3O,O,Pd,,1.409,,,1.98,,,,0.729,241,0,1,144,149,2,S4,atop_Pd,,
-767.2528,CH3O,O,Pd,,1.408,,,1.983,,,,0.723,211,0,1,144,149,3,S4,atop_Pd,,
-767.2518,CH3O,O,Pd,,1.405,,,1.984,,,,0.741,240,0,1,144,149,4,S4,atop_Pd,,
-432.0512,coads,C_CO+O_CH3,,1.428,1.187,1.979,2.097,,3.101,1.374,1.503,,767,,,80,87,0,S1,,br_PdPd,br_PdPd
-432.0495,coads,C_CO+O_CH3,,1.428,1.187,1.978,2.1,,3.085,1.369,1.506,,5495,,,80,87,1,S1,,br_PdPd,br_PdPd
