sid,ads,rank,idx,E_MLIP,dE_from_global,site,region,n_Pd_nbr,n_O_nbr,d_anchor_surf,height,d_CO_bond,d_CH3O_bond,d_reactive,d_bin,site_combo
S1,CO,0,64,-405.719,0.0,atop_Pd,metal,1,0,1.837,1.812,1.166,,,,
S1,CO,1,3,-405.7178,0.0013,br_PdPd,metal,2,0,1.969,1.388,1.188,,,,
S1,CO,2,43,-405.6726,0.0464,4f_4Pd0O,metal,4,0,2.154,0.989,1.22,,,,
S1,CO,3,8,-405.7148,0.0043,br_PdPd,metal,2,0,1.974,1.387,1.188,,,,
S1,CO,4,28,-405.7129,0.0062,br_PdPd,metal,2,0,1.978,1.385,1.188,,,,
S1,CH3O,0,48,-415.8734,0.0,br_PdPd,metal,2,0,2.112,1.534,,1.429,,,
S1,CH3O,1,283,-415.871,0.0024,atop_Pd,metal,1,0,1.987,1.972,,1.394,,,
S1,CH3O,2,59,-415.8723,0.0011,br_PdPd,metal,2,0,2.097,1.53,,1.43,,,
S1,CH3O,3,138,-415.8719,0.0015,br_PdPd,metal,2,0,2.106,1.548,,1.43,,,
S1,CH3O,4,105,-415.8712,0.0022,br_PdPd,metal,2,0,2.103,1.529,,1.429,,,
S2,CO,0,59,-575.2723,0.0,atop_Pd,metal,1,0,1.899,1.074,1.154,,,,
S2,CO,1,130,-575.0427,0.2296,physi,physi,0,0,3.237,2.952,1.148,,,,
S2,CO,2,14,-574.9772,0.2951,br_PdPd,metal,2,0,2.02,0.521,1.178,,,,
S2,CO,3,81,-575.2628,0.0095,atop_Pd,metal,1,0,2.516,1.708,1.153,,,,
S2,CO,4,154,-575.0383,0.234,physi,physi,0,0,3.04,2.76,1.147,,,,
S2,CH3O,0,19,-585.9017,0.0,br_PdPd,metal,2,0,2.116,0.478,,1.434,,,
S2,CH3O,1,297,-585.9016,0.0001,atop_Pd,metal,1,0,2.059,1.2,,1.398,,,
S2,CH3O,2,217,-585.614,0.2877,br_PdO,interface,1,1,2.032,1.314,,1.393,,,
S2,CH3O,3,496,-585.5794,0.3223,atop_O,oxide,0,1,2.25,2.174,,1.369,,,
S2,CH3O,4,340,-585.9013,0.0004,atop_Pd,metal,1,0,2.051,1.271,,1.408,,,
S3,CO,0,123,-687.9499,0.0,physi,physi,0,0,2.946,2.769,1.148,,,,
S3,CO,1,22,-687.945,0.0049,atop_Pd,metal,1,0,2.462,2.307,1.152,,,,
S3,CO,2,49,-687.9218,0.0282,atop_Pd,metal,1,0,2.465,2.337,1.152,,,,
S3,CO,3,20,-687.863,0.087,atop_Pd,metal,1,0,2.47,2.331,1.152,,,,
S3,CO,4,76,-687.845,0.105,physi,physi,0,0,3.196,2.694,1.148,,,,
S3,CH3O,0,315,-698.627,0.0,atop_Pd,metal,1,0,1.995,1.923,,1.409,,,
S3,CH3O,1,369,-698.6267,0.0003,atop_O,oxide,0,1,1.508,1.378,,1.44,,,
S3,CH3O,2,395,-698.5978,0.0292,physi,physi,0,0,2.632,2.258,,1.35,,,
S3,CH3O,3,385,-698.2592,0.3678,br_OO,oxide,0,2,2.523,2.011,,1.352,,,
S3,CH3O,4,117,-698.6266,0.0005,atop_Pd,metal,1,0,1.992,1.906,,1.412,,,
S3b,CO,0,56,-547.629,0.0,atop_Pd,metal,1,0,1.802,1.742,1.167,,,,
S3b,CO,1,84,-547.6238,0.0051,physi,physi,0,0,3.59,3.127,1.167,,,,
S3b,CO,2,6,-547.495,0.134,br_PdPd,metal,2,0,1.918,1.129,1.19,,,,
S3b,CO,3,41,-547.5965,0.0325,atop_Pd,metal,1,0,1.804,1.605,1.168,,,,
S3b,CO,4,19,-547.5883,0.0407,atop_Pd,metal,1,0,1.804,1.61,1.167,,,,
S3b,CH3O,0,198,-558.1287,0.0,atop_Pd,metal,1,0,1.965,1.475,,1.394,,,
S3b,CH3O,1,16,-558.1244,0.0043,br_PdPd,metal,2,0,2.099,1.435,,1.432,,,
S3b,CH3O,2,108,-558.1233,0.0054,atop_Pd,metal,1,0,1.979,1.558,,1.384,,,
S3b,CH3O,3,260,-558.1213,0.0074,atop_Pd,metal,1,0,1.969,1.698,,1.418,,,
S3b,CH3O,4,8,-558.1208,0.0079,br_PdPd,metal,2,0,2.066,1.444,,1.434,,,
S4,CO,0,80,-756.5792,0.0,physi,physi,0,0,3.029,2.542,1.148,,,,
S4,CO,1,76,-756.5642,0.015,physi,physi,0,0,3.029,2.0,1.147,,,,
S4,CO,2,61,-756.5259,0.0533,physi,physi,0,0,3.101,2.0,1.147,,,,
S4,CO,3,86,-754.0571,2.5221,physi,physi,0,0,2.984,2.439,1.149,,,,
S4,CO,4,55,-754.0571,2.5221,physi,physi,0,0,3.141,2.018,1.147,,,,
S4,CH3O,0,369,-767.2577,0.0,atop_O,oxide,0,1,1.42,1.407,,1.454,,,
S4,CH3O,1,260,-767.2575,0.0001,atop_Pd,metal,1,0,1.986,0.754,,1.396,,,
S4,CH3O,2,383,-767.2514,0.0063,physi,physi,0,0,2.809,1.844,,1.345,,,
S4,CH3O,3,329,-767.2157,0.0419,br_PdO,interface,1,1,1.998,0.827,,1.414,,,
S4,CH3O,4,241,-767.2573,0.0004,atop_Pd,metal,1,0,1.98,0.729,,1.409,,,
S1,coads,0,767,-432.0512,0.0,,,,,,,1.187,1.428,3.101,reactive-loose,br_PdPd+br_PdPd
S1,coads,1,487,-432.0193,0.0318,,,,,,,1.188,1.429,2.989,reactive-close,br_PdPd+br_PdPd
S1,coads,2,4021,-432.0405,0.0107,,,,,,,1.189,1.432,5.402,thermodynamic,br_PdPd+br_PdPd
S1,coads,3,1696,-432.0484,0.0028,,,,,,,1.188,1.435,4.183,separated,br_PdPd+br_PdPd
S1,coads,4,3255,-432.0029,0.0483,,,,,,,1.22,1.433,5.06,thermodynamic,4f_4Pd0O+br_PdPd
