sid,ads,rank,idx,E_MLIP,dE_from_global,site,region,n_Pd_nbr,n_O_nbr,d_anchor_surf,height,d_CO_bond,d_CH3O_bond,d_reactive,d_bin,site_combo
S1,CO,2,43,-405.6726,0.0464,4f_4Pd0O,metal,4,0,2.154,0.989,1.22,,,,
S1,CH3O,1,283,-415.871,0.0024,atop_Pd,metal,1,0,1.987,1.972,,1.394,,,
S2,CO,2,14,-574.9772,0.2951,br_PdPd,metal,2,0,2.02,0.521,1.178,,,,
S2,CH3O,2,217,-585.614,0.2877,br_PdO,interface,1,1,2.032,1.314,,1.393,,,
S2,CH3O,3,496,-585.5794,0.3223,atop_O,oxide,0,1,2.25,2.174,,1.369,,,
S3,CO,4,76,-687.845,0.105,physi,physi,0,0,3.196,2.694,1.148,,,,
S3,CH3O,2,395,-698.5978,0.0292,physi,physi,0,0,2.632,2.258,,1.35,,,
S3,CH3O,3,385,-698.2592,0.3678,br_OO,oxide,0,2,2.523,2.011,,1.352,,,
S3b,CO,1,84,-547.6238,0.0051,physi,physi,0,0,3.59,3.127,1.167,,,,
S3b,CO,2,6,-547.495,0.134,br_PdPd,metal,2,0,1.918,1.129,1.19,,,,
S4,CH3O,2,383,-767.2514,0.0063,physi,physi,0,0,2.809,1.844,,1.345,,,
S4,CH3O,3,329,-767.2157,0.0419,br_PdO,interface,1,1,1.998,0.827,,1.414,,,
S1,coads,1,487,-432.0193,0.0318,,,,,,,1.188,1.429,2.989,reactive-close,br_PdPd+br_PdPd
S1,coads,2,4021,-432.0405,0.0107,,,,,,,1.189,1.432,5.402,thermodynamic,br_PdPd+br_PdPd
S1,coads,3,1696,-432.0484,0.0028,,,,,,,1.188,1.435,4.183,separated,br_PdPd+br_PdPd
S1,coads,4,3255,-432.0029,0.0483,,,,,,,1.22,1.433,5.06,thermodynamic,4f_4Pd0O+br_PdPd
S2,coads,1,8079,-600.7868,0.4414,,,,,,,1.152,1.411,2.858,reactive-close,atop_Pd+atop_Pd
S2,coads,2,3633,-600.9994,0.2289,,,,,,,1.179,1.412,5.186,thermodynamic,br_PdPd+atop_Pd
S2,coads,3,9507,-601.0274,0.2008,,,,,,,1.178,1.416,4.128,separated,br_PdPd+atop_Pd
S2,coads,4,11165,-601.0096,0.2187,,,,,,,1.155,1.435,4.342,separated,atop_Pd+br_PdPd
S3,coads,1,3481,-713.2831,0.0414,,,,,,,1.151,1.415,2.988,reactive-close,atop_Pd+atop_Pd
S3,coads,2,5161,-713.3037,0.0209,,,,,,,1.15,1.415,3.249,reactive-loose,atop_Pd+atop_Pd
S3,coads,3,4593,-713.2554,0.0691,,,,,,,1.148,1.414,4.055,separated,physi+atop_Pd
S3b,coads,1,2051,-574.1964,0.5542,,,,,,,1.182,1.379,2.895,reactive-close,br_PdPd+atop_Pd
S3b,coads,2,2754,-574.6289,0.1217,,,,,,,1.189,1.418,3.663,reactive-loose,br_PdPd+br_PdPd
S3b,coads,3,2484,-574.7443,0.0063,,,,,,,1.191,1.435,4.988,separated,br_PdPd+br_PdPd
S3b,coads,4,2841,-574.6171,0.1335,,,,,,,1.166,1.435,5.009,thermodynamic,atop_Pd+br_PdPd
