sid,ads,idx,status
S1,CH3O,48,KEEP (in both v4 and v5)
S1,CH3O,59,KEEP (in both v4 and v5)
S1,CH3O,105,KEEP (in both v4 and v5)
S1,CH3O,138,KEEP (in both v4 and v5)
S1,CH3O,37,v4-only (v5 dropped)
S1,CH3O,283,v5-new (needs new DFT if approved)
S1,CO,3,KEEP (in both v4 and v5)
S1,CO,8,KEEP (in both v4 and v5)
S1,CO,28,KEEP (in both v4 and v5)
S1,CO,64,KEEP (in both v4 and v5)
S1,CO,30,v4-only (v5 dropped)
S1,CO,43,v5-new (needs new DFT if approved)
S1,coads,767,KEEP (in both v4 and v5)
S1,coads,76,v4-only (v5 dropped)
S1,coads,3785,v4-only (v5 dropped)
S1,coads,4132,v4-only (v5 dropped)
S1,coads,5495,v4-only (v5 dropped)
S1,coads,487,v5-new (needs new DFT if approved)
S1,coads,1696,v5-new (needs new DFT if approved)
S1,coads,3255,v5-new (needs new DFT if approved)
S1,coads,4021,v5-new (needs new DFT if approved)
S2,CH3O,19,KEEP (in both v4 and v5)
S2,CH3O,297,KEEP (in both v4 and v5)
S2,CH3O,340,KEEP (in both v4 and v5)
S2,CH3O,62,v4-only (v5 dropped)
S2,CH3O,204,v4-only (v5 dropped)
S2,CH3O,217,v5-new (needs new DFT if approved)
S2,CH3O,496,v5-new (needs new DFT if approved)
S2,CO,59,KEEP (in both v4 and v5)
S2,CO,81,KEEP (in both v4 and v5)
S2,CO,130,KEEP (in both v4 and v5)
S2,CO,154,KEEP (in both v4 and v5)
S2,CO,27,v4-only (v5 dropped)
S2,CO,14,v5-new (needs new DFT if approved)
S2,coads,989,KEEP (in both v4 and v5)
S2,coads,471,v4-only (v5 dropped)
S2,coads,3165,v4-only (v5 dropped)
S2,coads,8300,v4-only (v5 dropped)
S2,coads,8447,v4-only (v5 dropped)
S2,coads,3633,v5-new (needs new DFT if approved)
S2,coads,8079,v5-new (needs new DFT if approved)
S2,coads,9507,v5-new (needs new DFT if approved)
S2,coads,11165,v5-new (needs new DFT if approved)
S3,CH3O,117,KEEP (in both v4 and v5)
S3,CH3O,315,KEEP (in both v4 and v5)
S3,CH3O,369,KEEP (in both v4 and v5)
S3,CH3O,143,v4-only (v5 dropped)
S3,CH3O,164,v4-only (v5 dropped)
S3,CH3O,385,v5-new (needs new DFT if approved)
S3,CH3O,395,v5-new (needs new DFT if approved)
S3,CO,20,KEEP (in both v4 and v5)
S3,CO,22,KEEP (in both v4 and v5)
S3,CO,49,KEEP (in both v4 and v5)
S3,CO,123,KEEP (in both v4 and v5)
S3,CO,40,v4-only (v5 dropped)
S3,CO,76,v5-new (needs new DFT if approved)
S3,coads,1045,KEEP (in both v4 and v5)
S3,coads,2408,KEEP (in both v4 and v5)
S3,coads,1353,v4-only (v5 dropped)
S3,coads,3382,v4-only (v5 dropped)
S3,coads,6637,v4-only (v5 dropped)
S3,coads,3481,v5-new (needs new DFT if approved)
S3,coads,4593,v5-new (needs new DFT if approved)
S3,coads,5161,v5-new (needs new DFT if approved)
S3b,CH3O,8,KEEP (in both v4 and v5)
S3b,CH3O,16,KEEP (in both v4 and v5)
S3b,CH3O,108,KEEP (in both v4 and v5)
S3b,CH3O,198,KEEP (in both v4 and v5)
S3b,CH3O,260,KEEP (in both v4 and v5)
S3b,CO,19,KEEP (in both v4 and v5)
S3b,CO,41,KEEP (in both v4 and v5)
S3b,CO,56,KEEP (in both v4 and v5)
S3b,CO,38,v4-only (v5 dropped)
S3b,CO,79,v4-only (v5 dropped)
S3b,CO,6,v5-new (needs new DFT if approved)
S3b,CO,84,v5-new (needs new DFT if approved)
S3b,coads,2151,KEEP (in both v4 and v5)
S3b,coads,142,v4-only (v5 dropped)
S3b,coads,1220,v4-only (v5 dropped)
S3b,coads,2461,v4-only (v5 dropped)
S3b,coads,3309,v4-only (v5 dropped)
S3b,coads,2051,v5-new (needs new DFT if approved)
S3b,coads,2484,v5-new (needs new DFT if approved)
S3b,coads,2754,v5-new (needs new DFT if approved)
S3b,coads,2841,v5-new (needs new DFT if approved)
S4,CH3O,241,KEEP (in both v4 and v5)
S4,CH3O,260,KEEP (in both v4 and v5)
S4,CH3O,369,KEEP (in both v4 and v5)
S4,CH3O,211,v4-only (v5 dropped)
S4,CH3O,240,v4-only (v5 dropped)
S4,CH3O,329,v5-new (needs new DFT if approved)
S4,CH3O,383,v5-new (needs new DFT if approved)
S4,CO,55,KEEP (in both v4 and v5)
S4,CO,61,KEEP (in both v4 and v5)
S4,CO,76,KEEP (in both v4 and v5)
S4,CO,80,KEEP (in both v4 and v5)
S4,CO,86,KEEP (in both v4 and v5)
