
===== Phase 2 start 2026-06-17 04:14:16 =====
[S1] 1/6338  rate=12.07s/struct  ETA=21.24hr
[S1] 100/6338  rate=4.67s/struct  ETA=8.09hr
[S1] 200/6338  rate=4.52s/struct  ETA=7.71hr
[S1] 300/6338  rate=4.50s/struct  ETA=7.55hr
[S1] 400/6338  rate=4.51s/struct  ETA=7.44hr
[S1] 500/6338  rate=4.48s/struct  ETA=7.27hr
[S1] 600/6338  rate=4.48s/struct  ETA=7.13hr
[S1] 700/6338  rate=4.48s/struct  ETA=7.02hr
[S1] 800/6338  rate=4.47s/struct  ETA=6.88hr
[S1] 900/6338  rate=4.49s/struct  ETA=6.78hr
[S1] 1000/6338  rate=4.53s/struct  ETA=6.71hr
[S1] 1100/6338  rate=4.59s/struct  ETA=6.68hr
[S1] 1200/6338  rate=4.58s/struct  ETA=6.53hr
[S1] 1300/6338  rate=4.57s/struct  ETA=6.39hr
[S1] 1400/6338  rate=4.55s/struct  ETA=6.24hr
[S1] 1500/6338  rate=4.54s/struct  ETA=6.10hr
[S1] 1600/6338  rate=4.53s/struct  ETA=5.96hr
[S1] 1700/6338  rate=4.53s/struct  ETA=5.84hr
[S1] 1800/6338  rate=4.55s/struct  ETA=5.73hr
[S1] 1900/6338  rate=4.55s/struct  ETA=5.61hr
[S1] 2000/6338  rate=4.55s/struct  ETA=5.49hr
[S1] 2100/6338  rate=4.55s/struct  ETA=5.36hr
[S1] 2200/6338  rate=4.55s/struct  ETA=5.23hr
[S1] 2300/6338  rate=4.55s/struct  ETA=5.10hr
[S1] 2400/6338  rate=4.54s/struct  ETA=4.96hr
[S1] 2500/6338  rate=4.51s/struct  ETA=4.80hr
[S1] 2600/6338  rate=4.50s/struct  ETA=4.67hr
[S1] 2700/6338  rate=4.49s/struct  ETA=4.54hr
[S1] 2800/6338  rate=4.47s/struct  ETA=4.39hr
[S1] 2900/6338  rate=4.44s/struct  ETA=4.24hr
[S1] 3000/6338  rate=4.42s/struct  ETA=4.10hr
[S1] 3100/6338  rate=4.40s/struct  ETA=3.96hr
[S1] 3200/6338  rate=4.37s/struct  ETA=3.81hr
[S1] 3300/6338  rate=4.36s/struct  ETA=3.68hr
[S1] 3400/6338  rate=4.34s/struct  ETA=3.54hr
[S1] 3500/6338  rate=4.33s/struct  ETA=3.41hr
[S1] 3600/6338  rate=4.34s/struct  ETA=3.30hr
[S1] 3700/6338  rate=4.35s/struct  ETA=3.19hr
[S1] 3800/6338  rate=4.35s/struct  ETA=3.07hr
[S1] 3900/6338  rate=4.36s/struct  ETA=2.95hr
[S1] 4000/6338  rate=4.36s/struct  ETA=2.83hr
[S1] 4100/6338  rate=4.36s/struct  ETA=2.71hr
[S1] 4200/6338  rate=4.37s/struct  ETA=2.60hr
[S1] 4300/6338  rate=4.38s/struct  ETA=2.48hr
[S1] 4400/6338  rate=4.39s/struct  ETA=2.36hr
[S1] 4500/6338  rate=4.39s/struct  ETA=2.24hr
[S1] 4600/6338  rate=4.38s/struct  ETA=2.11hr
[S1] 4700/6338  rate=4.38s/struct  ETA=1.99hr
[S1] 4800/6338  rate=4.38s/struct  ETA=1.87hr
[S1] 4900/6338  rate=4.38s/struct  ETA=1.75hr
[S1] 5000/6338  rate=4.38s/struct  ETA=1.63hr
[S1] 5100/6338  rate=4.39s/struct  ETA=1.51hr
[S1] 5200/6338  rate=4.39s/struct  ETA=1.39hr
[S1] 5300/6338  rate=4.40s/struct  ETA=1.27hr
[S1] 5400/6338  rate=4.40s/struct  ETA=1.15hr
[S1] 5500/6338  rate=4.40s/struct  ETA=1.03hr
[S1] 5600/6338  rate=4.40s/struct  ETA=0.90hr
[S1] 5700/6338  rate=4.40s/struct  ETA=0.78hr
[S1] 5800/6338  rate=4.41s/struct  ETA=0.66hr
[S1] 5900/6338  rate=4.42s/struct  ETA=0.54hr
[S1] 6000/6338  rate=4.42s/struct  ETA=0.41hr
[S1] 6100/6338  rate=4.42s/struct  ETA=0.29hr
[S1] 6200/6338  rate=4.42s/struct  ETA=0.17hr
[S1] 6300/6338  rate=4.41s/struct  ETA=0.05hr
