[S1 SetTS] 1/1097  ETA=3.54hr
[S1 SetTS] 50/1097  ETA=1.12hr
[S1 SetTS] 100/1097  ETA=1.08hr
[S1 SetTS] 150/1097  ETA=1.02hr
[S1 SetTS] 200/1097  ETA=0.97hr
[S1 SetTS] 250/1097  ETA=0.90hr
[S1 SetTS] 300/1097  ETA=0.84hr
[S1 SetTS] 350/1097  ETA=0.79hr
[S1 SetTS] 400/1097  ETA=0.74hr
[S1 SetTS] 450/1097  ETA=0.69hr
[S1 SetTS] 500/1097  ETA=0.64hr
[S1 SetTS] 550/1097  ETA=0.58hr
[S1 SetTS] 600/1097  ETA=0.52hr
[S1 SetTS] 650/1097  ETA=0.47hr
[S1 SetTS] 700/1097  ETA=0.42hr
[S1 SetTS] 750/1097  ETA=0.37hr
[S1 SetTS] 800/1097  ETA=0.31hr
[S1 SetTS] 850/1097  ETA=0.26hr
[S1 SetTS] 900/1097  ETA=0.21hr
[S1 SetTS] 950/1097  ETA=0.16hr
[S1 SetTS] 1000/1097  ETA=0.10hr
[S1 SetTS] 1050/1097  ETA=0.05hr
[S1 SetB] 1/100  ETA=0.08hr
[S1 SetB] 50/100  ETA=0.05hr
[S1 SetB] 100/100  ETA=0.00hr
[S2 SetTS] 1/1625  ETA=1.53hr
[S2 SetTS] 50/1625  ETA=2.10hr
[S2 SetTS] 100/1625  ETA=1.92hr
[S2 SetTS] 150/1625  ETA=1.85hr
[S2 SetTS] 200/1625  ETA=1.87hr
[S2 SetTS] 250/1625  ETA=1.81hr
[S2 SetTS] 300/1625  ETA=1.71hr
[S2 SetTS] 350/1625  ETA=1.65hr
[S2 SetTS] 400/1625  ETA=1.58hr
[S2 SetTS] 450/1625  ETA=1.51hr
[S2 SetTS] 500/1625  ETA=1.44hr
[S2 SetTS] 550/1625  ETA=1.38hr
[S2 SetTS] 600/1625  ETA=1.33hr
[S2 SetTS] 650/1625  ETA=1.26hr
[S2 SetTS] 700/1625  ETA=1.20hr
[S2 SetTS] 750/1625  ETA=1.13hr
[S2 SetTS] 800/1625  ETA=1.06hr
[S2 SetTS] 850/1625  ETA=1.00hr
[S2 SetTS] 900/1625  ETA=0.93hr
[S2 SetTS] 950/1625  ETA=0.87hr
[S2 SetTS] 1000/1625  ETA=0.81hr
[S2 SetTS] 1050/1625  ETA=0.75hr
[S2 SetTS] 1100/1625  ETA=0.68hr
[S2 SetTS] 1150/1625  ETA=0.62hr
[S2 SetTS] 1200/1625  ETA=0.55hr
[S2 SetTS] 1250/1625  ETA=0.49hr
[S2 SetTS] 1300/1625  ETA=0.42hr
[S2 SetTS] 1350/1625  ETA=0.35hr
[S2 SetTS] 1400/1625  ETA=0.29hr
[S2 SetTS] 1450/1625  ETA=0.23hr
[S2 SetTS] 1500/1625  ETA=0.16hr
[S2 SetTS] 1550/1625  ETA=0.10hr
[S2 SetTS] 1600/1625  ETA=0.03hr
[S2 SetB] 1/100  ETA=0.10hr
[S2 SetB] 50/100  ETA=0.05hr
[S2 SetB] 100/100  ETA=0.00hr
[S3 SetTS] 1/1441  ETA=1.94hr
[S3 SetTS] 50/1441  ETA=2.03hr
[S3 SetTS] 100/1441  ETA=1.93hr
[S3 SetTS] 150/1441  ETA=1.82hr
[S3 SetTS] 200/1441  ETA=1.75hr
[S3 SetTS] 250/1441  ETA=1.69hr
[S3 SetTS] 300/1441  ETA=1.63hr
[S3 SetTS] 350/1441  ETA=1.58hr
