sid,ads,idx,E_MACE_D3_eV,E_bind_MACE_D3_eV,dE_rel_meV,converged,n_steps,d_min_ads_sub_A,site_type_raw_MLIP,fingerprint
S1,CO,64,-405.719049,-1.7981,0.0,True,83,1.971,bridge,[1.19]
S1,CO,8,-405.714797,-1.7938,4252.1,True,108,1.972,atop,[1.19]
S1,CO,99,-405.387272,-1.4663,187729.6,True,200,2.264,atop,[1.22]
S1,CO,58,-405.389999,-1.469,307491.4,True,200,1.872,unknown,[1.17]
S1,CO,3,-405.717758,-1.7968,317172.7,True,200,1.86,unknown,[1.18]
S1,CO,40,-405.395071,-1.4741,323978.5,True,38,1.847,unknown,[1.17]
S1,CO,30,-405.712466,-1.7915,324768.2,True,200,1.856,unknown,[1.17]
S1,CO,89,-405.387515,-1.4666,326133.2,True,200,1.861,unknown,[1.16]
S1,CO,28,-405.712892,-1.7919,337712.9,True,200,1.851,unknown,[1.17]
S1,CO,85,-405.387722,-1.4668,367914.0,True,200,1.853,unknown,[1.17]
S1,CO,71,-405.391036,-1.4701,1637123.5,True,205,3.278,bridge,[1.15]
S1,CO,43,-405.672611,-1.7517,1692320.6,True,235,4.239,bridge,[1.15]
S1,CH3O,48,-415.87339,-2.1614,0.0,True,139,2.108,unknown,"[1.11, 1.11, 1.12, 1.43, 1.81, 1.81, 1.81, 2.06, 2.08, 2.12]"
S1,CH3O,59,-415.872253,-2.1603,1137.6,True,69,2.103,unknown,"[1.1, 1.11, 1.12, 1.43, 1.81, 1.81, 1.81, 2.07, 2.08, 2.12]"
S1,CH3O,138,-415.871883,-2.1599,1507.3,True,134,2.106,unknown,"[1.11, 1.11, 1.12, 1.43, 1.8, 1.81, 1.81, 2.07, 2.08, 2.12]"
S1,CH3O,40,-415.871556,-2.1596,1834.7,True,64,2.111,unknown,"[1.11, 1.11, 1.12, 1.43, 1.81, 1.81, 1.81, 2.07, 2.08, 2.12]"
S1,CH3O,141,-415.871537,-2.1596,1853.7,True,133,2.105,unknown,"[1.1, 1.11, 1.12, 1.43, 1.8, 1.81, 1.81, 2.07, 2.08, 2.12]"
S1,CH3O,105,-415.871232,-2.1593,2158.1,True,71,2.102,unknown,"[1.11, 1.11, 1.12, 1.43, 1.81, 1.81, 1.81, 2.07, 2.07, 2.12]"
S1,CH3O,283,-415.871009,-2.1591,2381.4,True,123,2.105,unknown,"[1.11, 1.11, 1.12, 1.43, 1.8, 1.81, 1.81, 2.06, 2.09, 2.12]"
S1,CH3O,0,-415.869376,-2.1574,4014.7,True,67,2.097,unknown,"[1.1, 1.11, 1.12, 1.43, 1.81, 1.81, 1.81, 2.07, 2.07, 2.12]"
