sid,idx,E_MACE_D3_eV,E_bind_MACE_D3_eV,dE_rel_meV,converged,n_steps,d_min_ads_sub_A,d_reactive_A,distance_bin,fingerprint
S1,767,-432.051151,-3.9753,0.0,True,82,1.979,3.101,reactive-loose,"[1.1, 1.1, 1.1, 1.2, 1.4, 1.8, 1.8, 1.8, 2.1, 2.1, 2.1, 3.1, 3.4, 4.3, 4.3, 4.3, 4.4, 4.5, 4.5, 5.2, 5.4]"
S1,5495,-432.049487,-3.9737,1.7,True,79,1.978,3.085,reactive-loose,"[1.1, 1.1, 1.1, 1.2, 1.4, 1.8, 1.8, 1.8, 2.1, 2.1, 2.1, 3.1, 3.4, 4.3, 4.3, 4.3, 4.4, 4.5, 4.5, 5.2, 5.3]"
S1,3785,-432.049081,-3.9733,2.1,True,83,1.978,3.135,reactive-loose,"[1.1, 1.1, 1.1, 1.2, 1.4, 1.8, 1.8, 1.8, 2.1, 2.1, 2.1, 3.1, 3.5, 4.3, 4.3, 4.4, 4.5, 4.5, 4.6, 5.2, 5.4]"
S1,4132,-432.048948,-3.9731,2.2,True,112,1.972,3.922,reactive-loose,"[1.1, 1.1, 1.1, 1.2, 1.4, 1.8, 1.8, 1.8, 2.1, 2.1, 2.1, 3.9, 4.0, 4.3, 4.6, 4.7, 4.9, 5.2, 5.5, 5.7, 5.7]"
S1,76,-432.048943,-3.9731,2.2,True,88,1.979,3.127,reactive-loose,"[1.1, 1.1, 1.1, 1.2, 1.4, 1.8, 1.8, 1.8, 2.1, 2.1, 2.1, 3.1, 3.5, 4.3, 4.4, 4.4, 4.4, 4.5, 4.5, 5.2, 5.4]"
S1,3604,-432.048885,-3.9731,2.3,True,83,1.98,3.196,reactive-loose,"[1.1, 1.1, 1.1, 1.2, 1.4, 1.8, 1.8, 1.8, 2.1, 2.1, 2.1, 3.2, 3.6, 4.4, 4.5, 4.6, 4.6, 4.6, 4.6, 5.3, 5.5]"
S1,3893,-432.048795,-3.973,2.4,True,76,1.976,3.072,reactive-loose,"[1.1, 1.1, 1.1, 1.2, 1.4, 1.8, 1.8, 1.8, 2.1, 2.1, 2.1, 3.1, 3.4, 4.1, 4.3, 4.3, 4.4, 4.5, 4.6, 5.2, 5.3]"
S1,156,-432.048638,-3.9728,2.5,True,81,1.979,3.11,reactive-loose,"[1.1, 1.1, 1.1, 1.2, 1.4, 1.8, 1.8, 1.8, 2.1, 2.1, 2.1, 3.1, 3.5, 4.3, 4.3, 4.3, 4.4, 4.5, 4.6, 5.2, 5.4]"
S1,1696,-432.048362,-3.9725,2.8,True,108,1.971,4.183,separated,"[1.1, 1.1, 1.1, 1.2, 1.4, 1.8, 1.8, 1.8, 2.1, 2.1, 2.1, 4.2, 4.3, 4.5, 4.9, 5.0, 5.2, 5.6, 5.9, 5.9, 6.0]"
S1,5041,-432.048161,-3.9723,3.0,True,79,1.978,3.097,reactive-loose,"[1.1, 1.1, 1.1, 1.2, 1.4, 1.8, 1.8, 1.8, 2.1, 2.1, 2.1, 3.1, 3.4, 4.3, 4.3, 4.3, 4.4, 4.5, 4.6, 5.2, 5.4]"
S1,4454,-432.048102,-3.9723,3.0,True,69,1.977,3.092,reactive-loose,"[1.1, 1.1, 1.1, 1.2, 1.4, 1.8, 1.8, 1.8, 2.1, 2.1, 2.1, 3.1, 3.4, 4.2, 4.3, 4.3, 4.4, 4.4, 4.6, 5.2, 5.3]"
S1,3435,-432.047936,-3.9721,3.2,True,81,1.979,3.207,reactive-loose,"[1.1, 1.1, 1.1, 1.2, 1.4, 1.8, 1.8, 1.8, 2.1, 2.1, 2.1, 3.2, 3.6, 4.4, 4.5, 4.6, 4.6, 4.6, 4.6, 5.3, 5.6]"
