sid,ads,idx,origin,priority,E_MLIP_eV,E_bind_MLIP_eV,DFT_status,E_DFT_sigma0_eV,E_bind_DFT_eV,F_max_free_eV_per_A,reached_accuracy,contcar_path
S1,CO,64,v4-existing,v4-baseline,-405.7190491925288,-1.7981,DONE,-450.9515,,0.0298,True,calculations/T1_16_DFT_L2/S1/CO/00_CO_idx00064/CONTCAR
S1,CO,3,v4-existing,v4-baseline,-405.7177579793188,-1.7968,DONE,-451.4141,,0.027,True,calculations/T1_16_DFT_L2/S1/CO/01_CO_idx00003/CONTCAR
S1,CO,8,v4-existing,v4-baseline,-405.7147971253136,-1.7938,DONE,-451.414,,0.0152,True,calculations/T1_16_DFT_L2/S1/CO/02_CO_idx00008/CONTCAR
S1,CO,28,v4-existing,v4-baseline,-405.71289233710115,-1.7919,DONE,-451.4076,,0.0278,True,calculations/T1_16_DFT_L2/S1/CO/03_CO_idx00028/CONTCAR
S1,CO,30,v4-existing,v4-baseline,-405.7124660696776,-1.7915,DONE,-451.4116,,0.027,True,calculations/T1_16_DFT_L2/S1/CO/04_CO_idx00030/CONTCAR
S1,CH3O,48,v4-existing,v4-baseline,-415.87339027332945,-2.1614,PENDING,,,,,
S1,CH3O,59,v4-existing,v4-baseline,-415.87225263618353,-2.1603,PENDING,,,,,
S1,CH3O,138,v4-existing,v4-baseline,-415.8718829277795,-2.1599,PENDING,,,,,
S1,CH3O,105,v4-existing,v4-baseline,-415.8712321391327,-2.1593,PENDING,,,,,
S1,CH3O,37,v4-existing,v4-baseline,-415.868882330609,-2.1569,PENDING,,,,,
S2,CO,59,v4-existing,v4-baseline,-575.272268767819,-0.9609,PENDING,,,,,
S2,CO,81,v4-existing,v4-baseline,-575.2628022503067,-0.9515,PENDING,,,,,
S2,CO,130,v4-existing,v4-baseline,-575.0427050548981,-0.7314,PENDING,,,,,
S2,CO,154,v4-existing,v4-baseline,-575.038307101608,-0.727,PENDING,,,,,
S2,CO,27,v4-existing,v4-baseline,-575.0334683057091,-0.7221,PENDING,,,,,
S2,CH3O,19,v4-existing,v4-baseline,-585.901712210141,-1.7994,PENDING,,,,,
S2,CH3O,297,v4-existing,v4-baseline,-585.9015857568862,-1.7993,PENDING,,,,,
S2,CH3O,340,v4-existing,v4-baseline,-585.9012623775004,-1.7989,PENDING,,,,,
S2,CH3O,204,v4-existing,v4-baseline,-585.8972411167513,-1.7949,PENDING,,,,,
S2,CH3O,62,v4-existing,v4-baseline,-585.896490400182,-1.7942,PENDING,,,,,
S3,CO,123,v4-existing,v4-baseline,-687.9499342381896,-0.3313,PENDING,,,,,
S3,CO,22,v4-existing,v4-baseline,-687.9449909037323,-0.3263,PENDING,,,,,
S3,CO,49,v4-existing,v4-baseline,-687.9217749537544,-0.3031,PENDING,,,,,
S3,CO,40,v4-existing,v4-baseline,-687.9149332883935,-0.2963,PENDING,,,,,
S3,CO,20,v4-existing,v4-baseline,-687.8629616893809,-0.2443,PENDING,,,,,
S3,CH3O,315,v4-existing,v4-baseline,-698.6270291711497,-1.2174,DONE,-749.9231,,0.0225,True,calculations/T1_16_DFT_L2/S3/CH3O/00_CH3O_idx00315/CONTCAR
S3,CH3O,369,v4-existing,v4-baseline,-698.626681115152,-1.217,DONE,-749.2812,,0.0212,True,calculations/T1_16_DFT_L2/S3/CH3O/01_CH3O_idx00369/CONTCAR
