key,n_atoms,MACE_E_eV,MACE_dmin_A,MACE_rate_ms,SevenNet_E_eV,SevenNet_dmin_A,SevenNet_rate_ms,speedup_MACE_over_Sevenet
S1_CO,82,-405.711,1.97,72,-406.690,1.99,197,2.74
S1_CH3O,85,-415.869,2.10,57,-416.640,2.11,215,3.80
S2_CO,114,-575.325,2.02,62,-574.514,1.94,287,4.66
S2_CH3O,117,-585.463,2.05,62,-584.748,2.06,298,4.78
S3_CO,130,-687.847,3.17,71,-677.967,3.50,387,5.46
S3_CH3O,133,-697.799,1.51,75,-687.963,1.51,392,5.22
S3b_CO,106,-547.490,1.81,62,-536.234,3.25,284,4.61
S3b_CH3O,109,-557.987,2.06,63,-548.831,2.08,293,4.69
S4_CO,146,-754.560,3.32,89,-737.908,3.34,497,5.59
S4_CH3O,149,-765.494,1.98,91,-749.073,3.79,511,5.62
